name,year_start,height,weight,college,pos,age,per,team,conf
Walter Berry,1987,203.2,97.52228,St. John's University,SF-PF,22.0,16.8,TOT,N/A
Del Beshore,1979,180.34,74.84268,California University of Pennslyvania,PG,22.0,0.0,MIL,East
Travis Best,1996,180.34,82.553744,Georgia Institute of Technology,PG,23.0,11.5,IND,East
Patrick Beverley,2013,185.42000000000002,83.91452,University of Arkansas,PG,24.0,15.4,HOU,West
Sim Bhullar,2015,226.06,163.29312,New Mexico State University,C,22.0,44.3,SAC,West
Al Bianchi,1957,190.5,83.91452,Bowling Green State University,PG,24.0,9.6,SYR,East
Henry Bibby,1973,185.42000000000002,83.91452,"University of California, Los Angeles",PG,23.0,15.1,NYK,East
Mike Bibby,1999,185.42000000000002,86.18248,University of Arizona,PG,20.0,14.8,VAN,West
Ed Biedenbach,1969,185.42000000000002,79.3786,North Carolina State University,G,23.0,2.7,PHO,West
Bob Bigelow,1976,200.66,97.52228,University of Pennsylvania,SF,22.0,10.0,KCK,East
Chauncey Billups,1998,190.5,91.625584,University of Colorado,PG,21.0,13.6,TOT,N/A
Dave Bing,1967,190.5,81.64656,Syracuse University,PG,23.0,16.5,DET,East
Joe Binion,1987,203.2,106.59412,North Carolina Agricultural and Technical State University,PF,25.0,12.0,POR,West
Jerry Bird,1959,198.12,95.25431999999999,University of Kentucky,F,23.0,12.9,NYK,East
Larry Bird,1980,205.74,99.79024,Indiana State University,PF,23.0,20.5,BOS,East
Otis Birdsong,1978,190.5,86.18248,University of Houston,SG,22.0,17.1,KCK,East
Uwe Blab,1986,215.9,114.305184,Indiana University,C,23.0,7.6,DAL,West
Norman Black,1981,195.58,83.91452,Saint Joseph's University,SG,23.0,1.9,DET,East
Tarik Black,2015,205.74,113.398,University of Kansas,C,23.0,14.7,TOT,N/A
Tom Black,1971,208.28,99.79024,South Dakota State University,C,29.0,9.6,TOT,N/A
Rolando Blackman,1982,198.12,86.18248,Kansas State University,SG,22.0,16.2,DAL,West
Alex Blackwell,1993,198.12,113.398,Monmouth University,SF,22.0,8.2,LAL,West
Cory Blackwell,1985,198.12,95.25431999999999,University of Wisconsin,SF,21.0,6.4,SEA,West
James Blackwell,1995,182.88,86.18248,Dartmouth College,PG,26.0,11.6,TOT,N/A
Nate Blackwell,1988,193.04,77.11064,Temple University,PG,22.0,6.1,SAS,West
DeJuan Blair,2010,200.66,122.46984,University of Pittsburgh,PF,20.0,17.7,SAS,West
Steve Blake,2004,190.5,78.017824,University of Maryland,PG,23.0,10.9,WAS,East
Will Blalock,2007,182.88,92.98636,Iowa State University,PG,23.0,4.5,DET,East
George Blaney,1962,185.42000000000002,79.3786,College of the Holy Cross,PG,22.0,7.8,NYK,East
Lance Blanks,1991,193.04,86.18248,University of Texas at Austin,SG,24.0,7.5,DET,East
Ricky Blanton,1993,200.66,97.52228,Louisiana State University,SF,26.0,19.3,CHI,East
Mookie Blaylock,1990,182.88,81.64656,University of Oklahoma,PG,22.0,11.5,NJN,East
Eric Bledsoe,2011,185.42000000000002,92.98636,University of Kentucky,PG,21.0,10.8,LAC,West
John Block,1967,205.74,93.893544,University of Southern California,PF,22.0,15.1,LAL,West
Corie Blount,1994,205.74,108.86207999999999,University of Cincinnati,PF,25.0,12.3,CHI,East
Mark Blount,2001,213.36,104.32616,University of Pittsburgh,C,25.0,11.1,BOS,East
Vander Blue,2014,193.04,90.7184,Marquette University,SG,21.0,0.5,BOS,East
Ray Blume,1982,193.04,83.91452,Oregon State University,SG,23.0,9.7,CHI,East
Tony Bobbitt,2005,193.04,86.18248,University of Cincinnati,SG,25.0,11.7,LAL,West
Bucky Bockhorn,1959,193.04,90.7184,University of Dayton,SG,25.0,11.1,CIN,East
Tom Boerwinkle,1969,213.36,120.20188,University of Tennessee,C,23.0,12.9,CHI,East
